duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,num_root,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class
0,tcp,private,REJ,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0,1.0,0.0,0.0,1.0,1.0,0.01,0.06,0.0,255,1,0.0,0.06,0.0,0.0,0.0,0.0,1.0,1.0,anomaly
2,tcp,ftp_data,SF,12983.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134,86,0.61,0.04,0.61,0.02,0.0,0.0,0.0,0.0,normal
0,icmp,eco_i,SF,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,65.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3,57,1.0,0.0,1.0,0.28,0.0,0.0,0.0,0.0,anomaly
0,tcp,http,SF,267.0,14515.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,155,255,1.0,0.0,0.01,0.03,0.01,0.0,0.0,0.0,normal
0,tcp,smtp,SF,1022.0,387.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,255,28,0.11,0.72,0.0,0.0,0.0,0.0,0.72,0.04,normal
0,tcp,telnet,SF,129.0,174.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,anomaly
0,tcp,http,SF,327.0,467.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04,151,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,normal
0,tcp,ftp,SF,26.0,157.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52,26,0.5,0.08,0.02,0.0,0.0,0.0,0.0,0.0,anomaly
0,tcp,telnet,SF,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,128,0.5,0.01,0.0,0.0,0.0,0.0,0.66,0.32,anomaly
0,tcp,smtp,SF,616.0,330.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,255,129,0.51,0.03,0.0,0.0,0.0,0.0,0.33,0.0,normal
0,tcp,private,REJ,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.0,2.0,0.0,0.0,1.0,1.0,0.02,0.07,0.0,255,2,0.01,0.07,0.0,0.0,0.0,0.0,1.0,1.0,anomaly
37,tcp,telnet,SF,773.0,364200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38,73,0.16,0.05,0.03,0.04,0.0,0.77,0.0,0.07,normal
0,tcp,http,SF,350.0,3610.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,normal
0,tcp,http,SF,213.0,659.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0,tcp,http,SF,246.0,2090.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35,255,1.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,normal
0,udp,private,SF,45.0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505.0,505.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,normal
0,tcp,private,REJ,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.0,18.0,0.0,0.0,1.0,1.0,0.09,0.07,0.0,255,18,0.07,0.07,0.0,0.0,0.0,0.0,1.0,1.0,anomaly
0,tcp,pop_3,S0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,255,87,0.34,0.01,0.01,0.0,1.0,1.0,0.0,0.0,anomaly
0,tcp,http,SF,196.0,1823.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0,tcp,http,SF,277.0,1816.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11,36,255,1.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,normal
0,tcp,discard,RSTO,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.0,13.0,0.0,0.0,1.0,1.0,0.05,0.06,0.0,255,13,0.05,0.06,0.0,0.0,0.0,0.0,1.0,1.0,anomaly
0,tcp,http,SF,294.0,6442.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11,180,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,normal
0,tcp,http,SF,300.0,440.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0,udp,private,SF,54.0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511.0,511.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,normal
805,tcp,http,RSTR,76944.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0,12.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,241,238,0.99,0.01,0.0,0.0,0.0,0.0,0.07,0.07,anomaly
0,tcp,smtp,SF,720.0,281.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,158,82,0.52,0.06,0.01,0.0,0.01,0.0,0.0,0.0,normal
0,tcp,http,SF,301.0,19794.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,255,1.0,0.0,0.05,0.02,0.05,0.0,0.0,0.0,normal
0,udp,private,SF,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,3.0,0.0,0.0,0.0,0.0,0.08,0.38,0.0,255,3,0.01,0.58,0.99,0.0,0.0,0.0,0.01,0.0,normal
0,tcp,private,REJ,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.0,1.0,0.05,0.0,0.92,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.0,0.0,0.96,1.0,anomaly
0,tcp,http,SF,209.0,12894.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
8,tcp,ftp,SF,220.0,688.0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53,27,0.51,0.08,0.02,0.0,0.0,0.0,0.0,0.0,anomaly
0,udp,domain_u,SF,43.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0,113.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal
0,tcp,ftp_data,SF,88382.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,203,114,0.38,0.01,0.38,0.02,0.0,0.0,0.0,0.0,normal
0,tcp,http,SF,277.0,4968.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,255,1.0,0.0,0.08,0.01,0.0,0.0,0.0,0.0,normal
0,tcp,http,SF,321.0,2715.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29.0,37.0,0.03,0.05,0.0,0.0,1.0,0.0,0.08,29,255,1.0,0.0,0.03,0.04,0.03,0.0,0.0,0.0,normal
0,tcp,http,SF,335.0,3228.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0,tcp,http,SF,234.0,3236.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0,tcp,systat,S0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.0,6.0,1.0,1.0,0.0,0.0,0.02,0.06,0.0,255,6,0.02,0.07,0.0,0.0,1.0,1.0,0.0,0.0,anomaly
0,tcp,http,SF,54540.0,8314.0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,4.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08,255,250,0.98,0.01,0.0,0.0,0.0,0.0,0.06,0.06,anomaly
0,udp,private,SF,46.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,normal
0,tcp,http,SF,318.0,488.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12,3,156,1.0,0.0,0.33,0.04,0.0,0.01,0.0,0.0,normal
0,tcp,http,SF,256.0,4926.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07,255,241,0.95,0.02,0.0,0.0,0.0,0.0,0.0,0.0,normal
0,tcp,iso_tsap,REJ,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.0,7.0,0.0,0.0,1.0,1.0,0.03,0.06,0.0,255,7,0.03,0.07,0.0,0.0,0.0,0.0,1.0,1.0,anomaly
0,tcp,private,REJ,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.0,3.0,0.0,0.0,1.0,1.0,0.01,0.08,0.0,255,3,0.01,0.08,0.0,0.0,0.0,0.0,1.0,1.0,anomaly
0,tcp,http,SF,229.0,509.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,255,1.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0,normal
